"","Group","type","TL","Biomass","PB","QB","EE","GE","Removals"
"Seabirds","Seabirds",0,4.29265459702366,0.06,0.279,35,0.0658256120004755,0.00797142857142857,0.000141277019310014
"Seals","Seals",0,4.63814352012566,0.56332055127669,0.075,5.581,0.8,0.0134384518903422,0.0337992330766188
"BalWhale","BalWhale",0,4.08468897488997,1.664,0.04,3.217,0.0174627945108416,0.0124339446689462,0.000890106995428301
"ToothWhale","ToothWhale",0,4.79285801461244,0.488,0.04,8,0.670704142002313,0.005,0.0125204899767603
"HMS","HMS",0,4.28418476115232,0.14,0.579,6.794,0.00335821129061027,0.0852222549308213,0
"Sharks","Sharks",0,4.69925724667971,0.0310867842268227,0.142,0.875666666666667,0.561576820533349,0.162162162162162,0.000192011314971181
"AtlHerring","AtlHerring",0,3.65294739816238,7.32349509948203,1.5,3.7,0.753647525137432,0.405405405405405,0.468174815977679
"AtlMackerel","AtlMackerel",0,3.83944579003135,1.79839437697949,1.65,2.8,0.901856198092424,0.589285714285714,0.035002310751468
"Butterfish","Butterfish",0,3.6917771943107,3.11841120453922,1.312,4.23,0.818599996819246,0.31016548463357,0.0127755182852948
"SmPelagics","SmPelagics",0,3.21929045466307,9.8,2,5.38751851851852,0.900149244803066,0.371228422347951,0.00867218880622041
"Mesopelagics","Mesopelagics",0,3.30793759927024,0.0415012165611592,1.65,4.4,0.833307155330518,0.375,2.81083334298392e-06
"OtherPelagics","OtherPelagics",0,4.65351780921215,0.28,1.17315649579604,6.56788581502577,0.983861874073897,0.178620111377719,0.000568309029417278
"Cod","Cod",0,3.99011821085665,0.5,0.87328781512605,2.24490966386555,0.628973472005738,0.389007998487708,0.01647243216658
"Haddock","Haddock",0,3.31098742418068,6.29835562466002,0.7,3,0.690493539734138,0.233333333333333,0.0500870416060582
"Goosefish","Goosefish",0,4.77145036899714,1.46946059447472,0.4,2.44,0.227093928172067,0.163934426229508,0.0342771158640684
"OffHake","OffHake",0,4.58024956976085,0.0281054959450833,0.45,2.44,0.559774885960264,0.184426229508197,8.70971224331307e-06
"SilverHake","SilverHake",0,4.22395785582963,9.25,0.4,3.055,0.830277583167963,0.130932896890344,0.051317361971547
"RedHake","RedHake",0,3.77095684677032,6.01559396810422,0.45,0.92,0.406358780205138,0.489130434782609,0.00560067804979835
"WhiteHake","WhiteHake",0,4.39685552003692,0.377190826317409,0.38,3.09999990463257,0.392201244104412,0.122580648932323,0.00312971889629957
"Redfish","Redfish",0,4.10120930996938,0.015,0.45,0.92,0.992571316492443,0.489130434782609,0.00342618571593691
"Pollock","Pollock",0,4.16770053419643,0.0924288807645613,0.41,2.3,0.281208699227187,0.178260869565217,0.00291945348601137
"OceanPout","OceanPout",0,3.37395350968687,0.4,1.84,7,0.986648561287057,0.262857142857143,0.000267568742538063
"BlackSeaBass","BlackSeaBass",0,3.9690582151056,0.191156942037688,0.15,0.83,0.0713764833127233,0.180722891566265,0.000188064185441051
"Bluefish","Bluefish",0,4.74840851548435,0.0629152330599318,0.536574344023324,4.26898833819242,0.848626404383323,0.125691218039382,0.000366675098806655
"Scup","Scup",0,3.42733078503117,3.99458013067382,0.45,0.92,0.0412043867750632,0.489130434782609,0.000757729487354771
"OtherDemersals","OtherDemersals",0,3.98832287893955,3.15135577164404,0.71,1.74089361702128,0.985808021867675,0.407836523184474,0.0102061650197351
"SouthernDemersals","SouthernDemersals",0,3.65306002573087,0.00141948885379726,1.125,4.502625,0.0748768305922485,0.249854251686516,0.000101194040476117
"Fourspot","Fourspot",0,4.28635389481846,1.34040111815746,0.45,0.92,0.187434475774727,0.489130434782609,0.00251480636169511
"SummerFlounder","SummerFlounder",0,4.68633719027341,0.146858863531881,1.11804733727811,2.5,0.279540435698733,0.447218934911243,0.0067584649476776
"AmPlaice","AmPlaice",0,3.39908532375548,0.167987449585326,0.6,2.76,0.640940793844012,0.217391304347826,0.00641002470015531
"Windowpane","Windowpane",0,3.80052634407315,1.26,0.142857142857143,0.92,0.991415829661667,0.15527950310559,0.00488738908707639
"WinterFlounder","WinterFlounder",0,3.41757044435418,2.80228632083329,0.17,0.92,0.224932243071862,0.184782608695652,0.0213253457386104
"WitchFlounder","WitchFlounder",0,3.3202526092691,0.0955815413524127,0.16,0.92,0.483721867099889,0.173913043478261,0.00300205626960134
"YTFlounder","YTFlounder",0,3.40424686075885,0.939944554208457,0.916752577319588,3.23441237113402,0.204096682110312,0.283437135444224,0.0032578531624977
"OtherFlatfish","OtherFlatfish",0,3.65306002573087,0.00418016277640626,0.522340425531915,1.74089361702128,0.598814088945624,0.300041553616387,3.35587730279978e-06
"SmFlatfishes","SmFlatfishes",0,3.35840775064819,0.547859618086581,1.61481481481481,5.38751851851852,0.556972962436208,0.299732578043901,7.64926185723302e-07
"SpinyDogfish","SpinyDogfish",0,4.32025129971196,2.65,0.7,1.6,0.986923040893489,0.4375,0.0561378878127446
"SmoothDogfish","SmoothDogfish",0,3.73611420456393,0.487066856695926,0.45,2.44,0.0468419747268827,0.184426229508197,0.000210586629317459
"Barndoor","Barndoor",0,4.25292555115135,1.44573135254983,0.45,0.83,0.143587323030375,0.542168674698795,0.0142648703070037
"WinterSkate","WinterSkate",0,3.9387098864715,5.33834454908293,0.144230769230769,0.83,0.532094856064737,0.173772011121409,0.117427798350584
"LittleSkate","LittleSkate",0,3.60412548244002,2.24184652033907,0.3,0.83,0.714787619702766,0.36144578313253,0.0900356584720084
"OtherSkates","OtherSkates",0,3.97848641299891,0.622493424939833,0.9,3,0.898880650664009,0.3,0.0379660834483474
"Illex","Illex",0,3.85486567096958,0.588971181819604,5.72,19,0.633922833437077,0.301052631578947,0.00301093258615587
"Loligo","Loligo",0,3.85278998045619,5.00994731663376,5.72,19,0.478578829550605,0.301052631578947,0.0144478857989613
"OtherCephalopods","OtherCephalopods",0,3.85486567096958,0.09,5.72,19,0.932734047050277,0.301052631578947,9.10618036869701e-06
"AmLobster","AmLobster",0,2.76001233573073,4.3,2.3,15.533,0.43785543435892,0.148071847035344,0.0633748576863683
"Macrobenthos","Macrobenthos",0,2.30793759927024,10.4,10,18,0.990210681509908,0.555555555555556,0.0414350395293716
"Megabenthos","Megabenthos",0,2.81253910971742,1.91055813539234,4.6,15.533,0.896958879576998,0.296143694070688,0.0453024250428401
"AtlScallop","AtlScallop",0,2.08,1.32595576025473,1.2,6.66,0.881934524526714,0.18018018018018,0.763006910520715
"Clams","Clams",0,2.08,24.6463887577287,1.2,6.66,0.220914346209208,0.18018018018018,0.56779215468327
"OtherShrimps","OtherShrimps",0,2.62980554288726,2.16431349198,4.5,15,0.908153130149637,0.3,9.61497265222314e-08
"Krill","Krill",0,2.91553512772485,1.8,28.5,80,0.778826568706262,0.35625,0
"Micronekton","Micronekton",0,2.91553512772485,3.68,28.5,80,0.817001412199867,0.35625,0
"GelZooplankton","GelZooplankton",0,3.09673138278086,1.048,40,100,0.839660575010388,0.4,0
"Mesozooplankton","Mesozooplankton",0,2.32018641559642,5.7,92,200,0.926340997970748,0.46,0
"Microzooplankton","Microzooplankton",0,2.31818181818182,2.3,130,300,0.850882274247492,0.433333333333333,0
"Bacteria","Bacteria",0,2,2.72077272304637,91.25,380.208,0.8,0.240000210411143,0
"Phytoplankton","Phytoplankton",1,1,15,174.345510204082,0,0.442378467298415,0,0
"Detritus","Detritus",2,1,5900.69584579769,0.5,0,0.599335097127553,0,0
"Discards","Discards",2,1,0.928759832440035,0.5,0,0.513719223229374,0,0
"DredgeScallop","DredgeScallop",3,3.26663792336779,0,0,0,0,0,0
"DredgeClam","DredgeClam",3,3.09790298722057,0,0,0,0,0,0
"Gillnet","Gillnet",3,5.06493317505407,0,0,0,0,0,0
"Longline","Longline",3,5.35443526361934,0,0,0,0,0,0
"PotTrap","PotTrap",3,3.88258941086508,0,0,0,0,0,0
"OtterTrawlSm","OtterTrawlSm",3,4.89157488119343,0,0,0,0,0,0
"OtterTrawlLg","OtterTrawlLg",3,4.80093758958471,0,0,0,0,0,0
"Midwater","Midwater",3,4.66468761908082,0,0,0,0,0,0
"OtherFisheries","OtherFisheries",3,5.00797812896724,0,0,0,0,0,0
